original_text,cleaned_text,case_folding,tokenized_text,normalized_text,stopword_removed,token_to_text,no_topic,label_aspek,sentimen,,,,Jumlah,Positif,Negatif,
"Sudah bagus dan lancar acaranya		",Sudah bagus dan lancar acaranya,sudah bagus dan lancar acaranya,"['sudah', 'bagus', 'dan', 'lancar', 'acaranya']","['sudah', 'keren', 'dan', 'sukses', 'acara']","['keren', 'sukses', 'acara']",keren sukses acara,1,Kesuksesan Acara,Positif,,,topik 1,314,305,9,314
"masih bikin agak ngantuk		",masih bikin agak ngantuk,masih bikin agak ngantuk,"['masih', 'bikin', 'agak', 'ngantuk']","['masih', 'bikin', 'agak', 'mengantuk']","['bikin', 'mengantuk']",bikin mengantuk,4,Antusiasme Peserta,Negatif,,,topik 2,179,160,19,179
"Lebih tepat waktu acaranya		",Lebih tepat waktu acaranya,lebih tepat waktu acaranya,"['lebih', 'tepat', 'waktu', 'acaranya']","['lebih', 'tepat', 'waktu', 'acara']","['tepat', 'waktu', 'acara']",tepat waktu acara,6,Waktu dan Pelaksanaan Acara,Negatif,,,topik 3,190,148,42,190
"semoga seminar ini tetap terlaksana dengan baik		",semoga seminar ini tetap terlaksana dengan baik,semoga seminar ini tetap terlaksana dengan baik,"['semoga', 'seminar', 'ini', 'tetap', 'terlaksana', 'dengan', 'baik']","['semoga', 'seminar', 'ini', 'tetap', 'terlaksana', 'dengan', 'baik']","['semoga', 'seminar', 'tetap', 'terlaksana', 'baik']",semoga seminar tetap terlaksana baik,1,Harapan Acara,Positif,,,topik 4,57,48,9,57
"Tidak ada kritik dan saran semua sudah oke.		",Tidak ada kritik dan saran semua sudah oke,tidak ada kritik dan saran semua sudah oke,"['tidak', 'ada', 'kritik', 'dan', 'saran', 'semua', 'sudah', 'oke']","['tidak', 'ada', 'kritik', 'dan', 'usulan', 'semua', 'sudah', 'baik']","['kritik', 'usulan', 'baik']",kritik usulan baik,7,Manfaat dan Evaluasi,Positif,,,topik 5,83,20,63,83
"acaranya lebih tepat waktu kedepannya		",acaranya lebih tepat waktu kedepannya,acaranya lebih tepat waktu kedepannya,"['acaranya', 'lebih', 'tepat', 'waktu', 'kedepannya']","['acara', 'lebih', 'tepat', 'waktu', 'ke depannya']","['acara', 'tepat', 'waktu', 'ke depannya']",acara tepat waktu ke depannya,6,Waktu dan Pelaksanaan Acara,Negatif,,,topik 6,127,41,86,127
"acara webinar ini sudah terlaksana dengan baik		",acara webinar ini sudah terlaksana dengan baik,acara webinar ini sudah terlaksana dengan baik,"['acara', 'webinar', 'ini', 'sudah', 'terlaksana', 'dengan', 'baik']","['acara', 'seminar', 'ini', 'sudah', 'terlaksana', 'dengan', 'baik']","['acara', 'seminar', 'terlaksana', 'baik']",acara seminar terlaksana baik,1,Kesuksesan Acara,Positif,,,topik 7,160,142,18,160
"udah bagus dan kondusif, semoga webinar selanjutnya bisa lebih bagus lagi		",udah bagus dan kondusif semoga webinar selanjutnya bisa lebih bagus lagi,udah bagus dan kondusif semoga webinar selanjutnya bisa lebih bagus lagi,"['udah', 'bagus', 'dan', 'kondusif', 'semoga', 'webinar', 'selanjutnya', 'bisa', 'lebih', 'bagus', 'lagi']","['sudah', 'keren', 'dan', 'kondusif', 'semoga', 'seminar', 'lanjut', 'bisa', 'lebih', 'keren', 'lagi']","['keren', 'kondusif', 'semoga', 'seminar', 'lanjut', 'keren']",keren kondusif semoga seminar lanjut keren,3,Harapan Acara,Positif,,,total,1110,559,246,
"acara sangat terlaksana dengan baik		",acara sangat terlaksana dengan baik,acara sangat terlaksana dengan baik,"['acara', 'sangat', 'terlaksana', 'dengan', 'baik']","['acara', 'sangat', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"Kegiatannya terlaksana dengan baik		",Kegiatannya terlaksana dengan baik,kegiatannya terlaksana dengan baik,"['kegiatannya', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
